	R0_est	population	gdp_per_capita	hosp_beds	median_age	hist_deaths_180	hist_Re_180	hist_str_180	hist_dpm_180	next_deaths_180	next_Re_180	next_str_180	next_dpm_180	mob_avg	mob_rr	mob_wk	total_deaths	people_vaccinated_per_hundred	people_fully_vaccinated_per_hundred	cumulative_excess_mortality	excess_mortality_fraction	em_100	em_50	em_25
AFG	1.51	41128772.0	1803.9870000000033	0.5	18.600000000000083	5.621400000000003	1.0196111111111108	14.673444444444414	0.13667804134779427	26.261066666666657	1.0378888888888884	36.96500000000013	0.6385084063941092	16.205938888888888	35.251572222222215	-2.839694444444446	2484.0			23796.509806841994	9.579915381176326	False	False	False
AGO	0.74	35588996.0	5819.495000000041		16.800000000000093	1.9752569832402245	0.9969444444444442	62.57422222222218	0.05550190242063093	5.1928555555555524	1.079222222222222	53.88905555555532	0.14591183059942328	-13.463094444444442	-9.251583333333336	-17.674605555555555	537.0			7623.005505378892	14.195540978359203	False	False	False
ALB	1.15	2842318.0	11803.43099999996	2.8899999999999886	38.0	10.14924444444445	1.0445000000000004	59.49811111111106	3.570763174438768	2.2833500000000013	1.0463888888888886	44.851222222222304	0.803340794379799				2235.0			10410.977109030555	4.658155306053939	False	False	False
ARE	1.49	9441138.0	67293.48299999943	1.1999999999999929	34.0	5.916638888888889	1.0333888888888896	53.37527777777776	0.6266870465074114	3.3563277777777767	0.9379999999999991	52.664833333333334	0.35550034093112254	-17.980958333333334	-16.954749999999997	-19.007166666666663	1497.0			3652.5038571198997	2.4398823360854376	False	False	False
ARG	2.38	45510324.0	18933.90699999991	5.0	31.8999999999998	211.5881055555554	0.9996666666666668	78.74594444444448	4.6492331180844895	329.50715555555547	0.9411666666666668	75.86372222222221	7.240272680887868	-27.509119444444444	-39.67935555555555	-15.33888333333333	55858.0	7.84	1.56	55610.890706478014	0.9955761163392534	True	True	True
ARM	1.38	2780472.0	8787.580000000042	4.200000000000026	35.70000000000014	13.928561111111105	1.0501111111111112		5.009423260191473	9.730166666666669	1.002777777777778		3.4994657981330755				3515.0	0.02		6037.456990694958	1.7176264553897462	True	False	False
AUS	2.18	26177410.0	44648.71000000038	3.8399999999999914	37.89999999999978	0.140488888888889	0.9949444444444442	61.77411111111097	0.005366798659183204	1.7423988764044944	1.2140555555555557	61.22022222222238	0.06656116385862827	-12.776977777777777	-10.948422222222227	-14.605533333333332	909.0	2.57	0.28	-2650.974157299761	-2.916363209350672	True	True	True
AUT	2.8	8939617.0	45436.68600000027	7.369999999999938	44.39999999999976	57.303133333333335	1.0615555555555554	73.48977777777773	6.410021070626777	11.84443888888889	0.9881666666666662	59.62338888888888	1.3249380693701855	-39.663483333333325	-48.142855555555556	-31.184111111111108	11404.0			8566.199250938156	0.7511574229163588	True	True	True
AZE	1.72	10358078.0	15847.419000000036	4.700000000000028	32.3999999999998	16.120661111111115	1.1112777777777774	72.40638888888898	1.556337103380677	16.23731666666667	1.026888888888889	65.37722222222224	1.567599381532623				3567.0			13526.632763586722	3.792159451524172	False	False	False
BEL	2.43	11655923.0	42658.57599999983	5.64000000000004	41.79999999999977	71.68256111111111	1.0386666666666666	60.49416666666638	6.149882863082667	14.676166666666662	1.0272777777777788	52.26877777777781	1.2591166453885	-33.36985277777778	-39.54208333333334	-27.197622222222222	23016.0	12.33	4.89	17005.538951307844	0.7388572710856728	True	True	True
BFA	1.09	22673764.0	1703.1020000000053	0.40000000000000246	17.60000000000007	0.48812777777777794	1.0493888888888887	19.54727777777776	0.021528308126422147	0.1818111111111114	0.9248888888888886	21.867611111111017	0.008018567676328968	6.299605555555555	12.692838888888884	-0.09362777777777735	146.0			2276.3519265463133	15.591451551687078	False	False	False
BGD	2.72	171186368.0	3523.9840000000163	0.8000000000000049	27.5	20.522961111111105	1.0423333333333336	80.45150000000021	0.11988665540886473	102.50160555555556	0.9712222222222219	70.62133333333325	0.5987720094368469	2.9523861111111103	-0.06503888888889266	5.96981111111111	9046.0	3.14		175627.0033664926	19.414879876906102	False	False	False
BGR	1.28	6781955.0	18563.307000000026	7.454000000000003	44.70000000000026	66.63337777777778	1.133333333333334	50.734555555555524	9.82509877723721	42.20077777777777	0.9964444444444445	45.45344444444434	6.222509258433265	-29.52262222222222	-32.87144444444444	-26.173799999999996	13197.0	5.57	1.4	25210.9794007474	1.9103568538870501	True	False	False
BHR	1.39	1472237.0	43290.70500000006	2.0	32.3999999999998	1.4817611111111113	1.020666666666667	55.151055555555686	1.0064691426116252	4.858772222222221	0.9118888888888896	49.0390555555556	3.300264986019385	-19.713102777777777	-20.991266666666668	-18.434938888888887	521.0	34.7	17.35	1653.6848681551578	3.1740592478985756	False	False	False
BIH	1.4	3233530.0	11713.895000000015	3.5	42.5	30.548284916201112	1.1145555555555564	43.80483333333342	9.4473485374192	22.786122905027934	0.9991666666666664	38.32055555555537	7.046825885341387	-15.574619444444446	-17.22142222222222	-13.927816666666667	6599.0			9666.156944855944	1.4647911721254652	True	True	False
BLR	2.39	9534956.0	17167.9670000001	11.0	40.29999999999979	7.7293944444444405	1.0577222222222222	39.258555555555624	0.8106376625591603	10.260288888888887	1.0238333333333327	37.89438888888889	1.0760709214482884	-20.971430555555557	-23.64602222222222	-18.296838888888896	2247.0			33000.211344738265	14.686342387511466	False	False	False
BLZ	1.41	405285.0	7824.361999999977	1.3000000000000058	25.0	1.6344916201117272	0.8677777777777774	71.07538888888885	4.032943780578425	0.46276111111111107	1.1855555555555557	56.79172222222223	1.1418165269159015	-24.280530555555554	-17.41903333333333	-31.142027777777777	317.0	5.44		139.80438889575757	0.44102330881942453	True	True	True
BOL	1.27	12224114.0	6885.828999999961	1.1000000000000043	25.399999999999842	23.653999999999996	1.040944444444444	49.177111111111195	1.935027765611479	36.11904444444444	0.9986666666666651	37.52949999999997	2.954737205857573	-23.29009444444445	-29.613527777777787	-16.966661111111105	12257.0	1.59	0.89	31438.715432236502	2.5649600581085505	False	False	False
BRA	2.33	215313504.0	14103.451999999988	2.2000000000000086	33.5	941.9777777777773	1.0450000000000002	65.4066666666666	4.374912675137075	1560.1984333333323	0.9667222222222209	59.09816666666653	7.246170836239479	-15.65474722222222	-24.688099999999995	-6.621394444444446	322138.0	8.24	2.37	365557.9718249732	1.134786867196584	True	True	True
BWA	1.13	2630300.0	15807.373999999927	1.8000000000000078	25.800000000000118	2.8699500000000024	1.1323333333333334	56.7390000000001	1.0911112800821208	10.148472222222226	1.2191666666666672	64.06533333333331	3.858294575608192	-0.5960305555555568	9.846838888888893	-11.038900000000003	568.0			1442.1067054233386	2.5389202560270046	False	False	False
