Code,Beta,Alpha 0,Too Much Excess Death,Time to increase risk,Time to reduce risk,Patient Zero Arrival Time,alp[Infection],alpratio,cum_deaths,IFR,SFrac_mdl,avg_Re_7,avg_Re_30,avg_Re_180,avg_Outputs[Death]_7,avg_Outputs[Death]_30,avg_Outputs[Death]_180,avg_Sensitivity Alpha_7,avg_Sensitivity Alpha_30,avg_Sensitivity Alpha_180,maeom_0,r2_0,maeom_1,r2_1,maeom,r2,maeom_nbr_0,r2_nbr_0,maeom_nbr_1,r2_nbr_1,maeom_nbr,r2_nbr,nbr_Re_180,nbr_Outputs[Death]_180,nbr_Sensitivity Alpha_180,R0_est,population,gdp_per_capita,hosp_beds,median_age,hist_deaths_7,hist_Re_7,hist_str_7,hist_dpm_7,next_deaths_7,next_Re_7,next_str_7,next_dpm_7,hist_deaths_30,hist_Re_30,hist_str_30,hist_dpm_30,next_deaths_30,next_Re_30,next_str_30,next_dpm_30,hist_deaths_180,hist_Re_180,hist_str_180,hist_dpm_180,next_deaths_180,next_Re_180,next_str_180,next_dpm_180,mob_avg,mob_rr,mob_wk,alp[Death],avg_dpm_7,avg_dpm_30,avg_dpm_180,hist_dpm_norm,avg_dpm_norm,next_dpm_norm,g_D_180,marginal,power distance,individualism,masculinity,uncertainty avoidance,Long-term orientation,Indulgence
AFG,0.388784,13.8419,1,41.6192,29.6459,29.9998,0.118405,0.6,2445.3,0.00177224,0.963888,0.836142286,0.7410327,1.013625467,3.559761429,4.587729667,6.434518889,13.8419,13.8419,13.8419,0.183907413,0.955432743,0.522136947,0.45764773,0.35302218,0.706540237,0.976576811,0.796854721,21.40614398,0.065333292,11.1913604,0.431094007,0.464010244,60.31957669,1.00E-09,1.52,41128772,1803.987,0.5,18.6,1.224428571,1.288571429,26.85,0.029770609,4.163285714,1.335714286,26.85,0.101225627,1.0666,1.141333333,24.50833333,0.025933184,4.252333333,1.333333333,26.85,0.10339072,5.649188889,1.019611111,14.67344444,0.137353697,26.26106667,1.037888889,36.965,0.638508406,16.20593889,35.25157222,-2.839694444,0.071043,0.08655161,0.111545506,0.156448116,0.450075454,0.512643331,2.092240449,0.315901951,0.067376818,,,,,,
AGO,0.452868,66.7027,1,22.6757,400,92.3118,0.0502386,1.00E-06,517.57,0.00163968,0.990032,0.802408714,0.864346967,0.9564966,1.514344286,1.665931333,2.040169944,66.7027,66.7027,66.7027,0.211959225,0.833558994,0.302693668,0.501090325,0.257326446,0.667324659,0.716086956,0.801611569,92.71002069,0.028634876,46.71305382,0.415123222,0.831446178,272.5921371,1.00E-09,0.74,35588996,5819.495,,16.8,1,1.241428571,64.81,0.028098573,1.081571429,1.314285714,63.75285714,0.030390614,1.009533333,1.137,64.19666667,0.028366446,1.6809,1.253666667,63.20933333,0.047230891,2,0.996944444,64.22622222,0.056197146,5.114283333,1.079222222,54.75338889,0.143704063,-13.46309444,-9.251583333,-17.67460556,5.02E-08,0.042550913,0.046810293,0.057325864,0.199031891,0.203029441,0.508952741,0.207305878,0.01477046,,,,,,
ALB,1.09399,0.882935,1,1,358.184,63.6924,0.480176,0.6,4760.02,0.00789558,0.78519,0.662236143,0.704213067,1.070510306,10.09573286,13.37127767,14.84809283,0.882935,0.882935,0.882935,0.23720252,0.864387431,1.332075667,0.057033939,0.784639094,0.460710685,0.512458685,0.431850873,7.628875661,0.144601679,4.070667173,0.288226276,1.091015317,101.4360302,1.00E-09,1.12,2842318,11803.431,2.89,38,10.63285714,0.794285714,60.19,3.740910462,8.408285714,0.768571429,60.19,2.958249469,15.75246667,0.827,60.19,5.54211973,6.171433333,0.724666667,56.66866667,2.171267724,10.06908889,1.0445,59.49811111,3.542562405,2.290494444,1.046388889,44.85122222,0.805854392,,,,0.2881056,3.551936433,4.704356679,5.223937938,2.605559411,3.842213376,0.592706989,0.178176969,0.531085778,,,,,61,15
ARE,1.27513,4.82873,0,1,63.2602,61.8056,0.217487,0.6,2838.63,0.00167409,0.818955,1.198352857,1.0476432,1.110047944,10.54071429,10.21243033,10.25319244,4.82873,4.82873,4.82873,0.196521175,0.888456304,1.07979196,0.385190456,0.638156567,0.63682338,0.230819778,0.878595678,7.001218127,0.18232813,3.616018952,0.530461904,0.9232853,13.07147294,1.00E-09,1.44,9441138,67293.483,1.2,34,6.143,0.995714286,53.96571429,0.650663087,4.632571429,0.975714286,53.7,0.490679347,10.1048,0.922666667,54.32,1.070294704,3.400033333,0.973,54.90466667,0.360129609,5.874577778,1.033388889,53.37527778,0.622231957,3.396005556,0.938,52.66483333,0.359702989,-17.98095833,-16.95475,-19.00716667,0.1304922,1.116466499,1.081694848,1.086012348,2.158445162,3.767241572,1.247764867,0.160152198,0.17156396,,,,,,
ARG,0.345445,0.271113,0,1,10,2.75338,0.217105,0.6,79581.6,0.00654161,0.725879,0.777417,0.7280771,0.947991217,115.5594286,147.9861667,277.6704556,0.271113,0.271113,0.271113,0.186291161,0.856052141,0.526866413,0.394216733,0.356578787,0.625134437,0.580473127,0.520609039,3.923409538,0.142709877,2.251941332,0.331659458,0.607503506,1341.07217,1.00E-09,,45510324,18933.907,5,31.9,184.5508571,1.284285714,71.76,4.055142678,247.1835714,1.334285714,71.76,5.431373581,146.5903667,1.119666667,72.54566667,3.221035444,401.7761667,1.193666667,71.76,8.828242283,186.3547111,0.999666667,78.74594444,4.094778827,305.2967889,0.941166667,75.86355556,6.708297416,-27.50911944,-39.67935556,-15.33888333,0.130263,2.539191516,3.251705408,6.101262992,3.635074445,5.416298686,5.955183793,0.376771053,0.786712118,49,46,56,86,20,62
ARM,1.69503,1.12586,1,16.8698,68.8404,64.8369,0.798271,0.6,7354.28,0.00721526,0.649153,0.785747857,0.748653567,1.014192544,11.58981429,14.69079667,22.08747678,1.12586,1.12586,1.12586,0.246402415,0.905132045,1.192714344,0.031019544,0.719558379,0.468075794,0.350047094,0.707777818,3.724953609,0.072439594,2.037500351,0.390108706,0.718127167,45.70947717,1.00E-09,1.38,2780472,8787.58,4.2,35.7,16.51014286,1.145714286,,5.937892148,18.12228571,1.038571429,,6.517701208,9.366666667,1.328333333,,3.368732599,19.6714,0.930333333,,7.074841969,13.92856111,1.050111111,,5.00942326,9.730166667,1.002777778,,3.499465798,,,,0.4789626,4.168290235,5.283562167,7.943786802,4.031839652,6.393565277,2.816548779,0.100567282,0.470397863,,,,,61,
AUS,0.40462,6.1727,0,100,400,15.4826,0.504752,0.6,3101.44,0.00903903,0.986492,0.765544857,0.8318493,0.931988533,0.954031286,1.103135967,1.0989087,6.1727,6.1727,6.1727,0.560955272,0.554098792,3.055544833,1.77E-05,1.808250052,0.277058231,1.009906822,0.124141912,238.3549707,0.003023737,119.6824388,0.063582824,0.147023411,0.545656568,1.00E-09,2.32,26177410,44648.71,3.84,37.9,0.061285714,1.094285714,60.38142857,0.002341168,0.081714286,0.958571429,46.76,0.003121557,0.047666667,1.126,50.925,0.001820908,0.0858,1.150666667,49.13633333,0.003277635,0.173088889,0.994944444,61.77411111,0.006612147,1.982538889,1.214055556,61.22022222,0.075734723,-12.77697778,-10.94842222,-14.60553333,0.3028512,0.036444831,0.042140761,0.041979275,0.004248036,0.02696998,0.048656484,0.794202025,0.139417514,38,90,61,51,21,71
AUT,3.99549,1.12586,0,20.8342,58.0529,63.0297,1,0.6,55923.6,0.0112106,0.437524,0.913179286,0.8701979,0.947809522,64.40101429,72.45627,144.3986861,1.12586,1.12586,1.12586,0.271636162,0.863686869,4.02135968,0.015014949,2.146497921,0.439350909,0.63654471,0.765635501,6.57509613,0.427210228,3.60582042,0.596422865,1.129741717,458.1461067,1.00E-09,2.8,8939617,45436.686,7.37,44.4,32,1.05,73.15,3.579571698,35.55085714,0.968571429,76.05714286,3.976776314,30.88096667,1.113666667,74.35466667,3.454394821,34.52373333,0.919666667,77.775,3.861880585,57.09679444,1.061555556,73.48977778,6.386939669,11.90795,0.988166667,59.67477778,1.332042525,-39.66348333,-48.14285556,-31.18411111,0.6,7.204001501,8.105075419,16.15267031,3.308502491,8.367254542,0.690012156,0.052122302,0.470397863,11,55,79,70,60,63
AZE,0.558695,1.89407,1,34.9269,59.8574,50.511,0.598567,0.6,5438.13,0.00445284,0.877266,0.721555714,0.728517167,1.065370872,8.363095714,10.80023,18.43962378,1.89407,1.89407,1.89407,0.288684957,0.912509043,0.800868624,0.436446137,0.54477679,0.67447759,0.435826196,0.821873906,9.13494648,0.019040064,4.785386338,0.420456985,0.70697415,67.91934367,1.00E-09,1.69,10358078,15847.419,4.7,32.4,18.16328571,1.458571429,70.37,1.753538225,26.12242857,1.278571429,74.33857143,2.521937812,8.695233333,1.465666667,66.48266667,0.839463975,31.0762,1.022,75.55866667,3.000189804,16.00953333,1.111277778,70.50911111,1.545608494,16.24842222,1.026888889,65.35666667,1.568671545,,,,0.3591402,0.807398411,1.042686684,1.780216733,2.015718652,2.321685012,2.04579653,0.228735851,0.345534144,,,,,61,22
BEL,2.18666,0.80854,0,19.2074,69.5406,53.2566,0.84175,0.6,56740.8,0.0110537,0.547654,0.872605714,0.879394067,1.033692883,91.31624286,101.64886,164.4765617,0.80854,0.80854,0.80854,0.242793285,0.924282462,1.46551102,0.718527064,0.854152153,0.821404763,0.641206199,0.729636734,4.612216987,0.071287158,2.626711593,0.400461946,0.947084233,599.4117472,1.00E-09,2.43,11655923,42658.576,5.64,41.8,27.16328571,1.085714286,66.13571429,2.33042769,32.85714286,1.002857143,74.34142857,2.818922436,26.04763333,1.119333333,63.701,2.2347122,38.48096667,0.965333333,69.26333333,3.301408792,71.91583889,1.038666667,60.49416667,6.169896531,14.59923333,1.027277778,52.26877778,1.252516281,-33.36985278,-39.54208333,-27.19762222,0.50505,7.834321045,8.72079028,14.11098561,3.241437981,7.413395744,0.658026245,0.080584747,0.552932199,65,75,54,94,82,57
