Code	mob_avg	mob_rr	mob_wk
ABW	-21.924223756906073	-23.50182278481013	-20.29124309392265
AFG	5.10166666666667	20.984384615384617	-6.658281045751635
AGO	-13.234831491712713	-14.001602209944757	-12.468060773480667
ARE	-22.95187016574586	-25.18070165745856	-20.723038674033162
ARG	-38.168911602209945	-54.52486740331492	-21.812955801104973
ATG	-25.650291428571425	-20.217177215189864	-29.91266857142857
AUS	-16.236008287292822	-16.040281767955804	-16.431734806629837
AUT	-21.59788950276243	-19.09237016574586	-24.103408839779007
BEL	-24.104591160221	-21.541458563535915	-26.667723756906078
BEN	-5.704323204419892	-5.647773480662985	-5.760872928176798
BFA	3.0045386740331494	9.595367088607592	-2.0094585635359112
BGD	-15.658649171270719	-21.797939226519336	-9.519359116022104
BGR	-12.297953038674036	-6.358342541436462	-18.237563535911605
BHR	-23.013041436464093	-25.992917127071824	-20.033165745856362
BHS	-40.738370165745856	-42.5698729281768	-38.90686740331492
BIH	-10.708370165745858	-8.670104972375693	-12.746635359116025
BLR	-14.762441988950275	-11.42385082872928	-18.101033149171275
BLZ	-26.42920718232044	-21.005386075949364	-29.72480662983425
BOL	-39.8595138121547	-47.8547679558011	-31.86425966850829
BRA	-19.42104696132596	-29.110480662983424	-9.731613259668503
BRB	-23.26805524861878	-20.881077348066302	-25.65503314917126
BWA	0.7165248618784532	4.330012658227847	-2.3458232044198923
CAN	-23.004356353591163	-16.66537016574586	-29.343342541436467
CHE	-17.47435082872928	-15.669292817679555	-19.279408839779006
CHL	-43.41830110497237	-52.58954696132597	-34.247055248618786
CIV	-5.441582872928179	-2.431685082872929	-8.451480662983421
CMR	-6.705201657458563	-3.9155469613259686	-9.49485635359116
COL	-35.95186464088398	-44.691414364640885	-27.212314917127078
CPV	-35.66920786516854	-36.98347468354431	-34.28487078651685
CRI	-36.50709116022099	-42.32043093922652	-30.693751381215467
CZE	-15.501555248618782	-12.946309392265192	-18.056801104972372
DEU	-14.503953038674037	-11.595127071823203	-17.412779005524865
DNK	-7.269143646408842	4.767950276243093	-19.306237569060777
DOM	-32.83267955801105	-34.93134806629835	-30.73401104972376
ECU	-30.19889779005525	-31.226508287292816	-29.171287292817684
EGY	-18.70560773480663	-23.77428729281768	-13.636928176795578
ESP	-24.54776795580111	-25.588823204419896	-23.50671270718232
EST	-9.126682320441983	0.8373701657458582	-19.09073480662983
FIN	-15.731287292817681	-7.927408839779003	-23.53516574585636
FJI	-4.871596685082874	-3.0885432098765437	-6.472408839779001
FRA	-22.406091160221	-19.9518729281768	-24.86030939226519
GAB	-11.789928176795582	-11.293575949367092	-12.205972375690612
GBR	-34.58798066298342	-34.40565745856353	-34.770303867403314
GEO	-17.031271241830062	-13.226882352941177	-20.835660130718946
GHA	-6.829563535911606	-3.872209944751375	-9.78691712707183
GNB	-17.58058974358974		-17.58058974358974
GRC	-12.317295580110496	-8.004729281767954	-16.629861878453045
GTM	-36.47831767955802	-39.5967182320442	-33.359917127071824
HKG	-17.4692182320442	-20.819270718232044	-14.119165745856352
HND	-43.79439779005525	-50.644856353591166	-36.94393922651933
HRV	-8.274657458563535	0.4048895027624265	-16.9542044198895
HTI	-20.152745856353587	-15.236974683544304	-24.12704419889502
HUN	-12.082074585635358	-5.051303867403314	-19.1128453038674
IDN	-19.306629834254142	-18.04498342541436	-20.568276243093923
IND	-36.49605524861879	-45.774281767955806	-27.21782872928177
IRL	-32.06274033149171	-31.96603867403315	-32.15944198895028
IRQ	-16.28491160220994	-14.37409392265193	-18.195729281767953
ISR	-29.02288121546961	-30.37092817679558	-27.674834254143644
ITA	-19.62472099447514	-16.158629834254143	-23.09081215469614
JAM	-26.616005524861876	-26.83266298342542	-26.399348066298337
JOR	-16.988149171270717	-13.67480110497238	-20.30149723756906
JPN	-11.639701657458561	-9.793198895027624	-13.486204419889507
KAZ	-22.41552209944751	-18.972348066298338	-25.85869613259668
KEN	-13.30111049723757	-13.985762430939223	-12.616458563535915
KGZ	-24.750593922651934	-21.718259668508292	-27.782928176795576
KHM	-17.692980662983423	-15.333839779005519	-20.05212154696133
KOR	-8.526046961325973	-10.325977900552493	-6.726116022099455
KWT	-32.01341160220994	-33.281740331491704	-30.745082872928187
LAO	-6.498453038674036	-8.413580110497243	-4.583325966850825
LBN	-22.954646408839785	-21.01105524861878	-24.89823756906078
LBY	-3.6665165745856343	3.2478508287292787	-10.580883977900548
LIE	-20.97126282051281		-20.97126282051281
LKA	-23.73558563535912	-25.36542541436464	-22.105745856353593
LTU	-19.57775138121547	-21.60138674033149	-17.554116022099457
LUX	-23.379058011049715	-19.453867403314923	-27.304248618784534
LVA	-10.466870165745858	-2.7056187845303867	-18.228121546961326
MDA	-14.32519889502763	-10.330674033149169	-18.319723756906082
MEX	-30.282555248618777	-35.109696132596675	-25.455414364640884
MKD	-18.222577348066302	-14.897425414364642	-21.547729281767957
MLI	-4.679541436464088	-2.2296850828729275	-7.129397790055251
MLT	-15.967635359116025	-11.37019889502763	-20.565071823204416
MMR	-26.940392265193367	-31.50194475138122	-22.378839779005524
MNG	8.57975138121547	18.554877300613494	0.0931160220994512
MOZ	-10.71786740331492	-14.071839779005527	-7.363895027624311
MUS	-8.701643646408835	-10.454607734806629	-6.94867955801105
MYS	-22.536707182320445	-26.167342541436472	-18.906071823204424
NAM	-12.555635359116021	-15.718226519337012	-9.393044198895021
NER	-3.2377983425414385	11.623335443037973	-14.330690607734804
NGA	-15.40449171270718	-16.672430939226516	-14.136552486187847
