	iso_code	total_deaths	people_vaccinated_per_hundred	people_fully_vaccinated_per_hundred
258486	OWID_WRL	2934568.0	4.5	1.8
18146	BHR	521.0	34.7	17.35
22559	BEL	23016.0	12.33	4.89
41148	CAN	22960.0	13.18	1.85
46602	CHL	23135.0	34.77	18.8
59298	CZE	26421.0	11.61	4.97
61520	DNK	2419.0	11.5	5.75
72468	EST	902.0	15.3	5.32
82500	FRA	95653.0	13.09	4.32
88007	DEU	76342.0	11.96	5.1
91301	GRC	8093.0	10.52	5.85
104923	HUN	20737.0	20.73	7.9
112710	IRL	4687.0	13.37	5.47
114905	ISR	6209.0	55.75	50.92
116037	ITA	109346.0	12.28	5.54
134878	LTU	3576.0	12.85	6.15
138237	LUX	746.0	11.3	3.48
143769	MDV	67.0	45.38	
145945	MLT	392.0	26.78	10.23
157679	MAR	8818.0	11.53	9.81
176589	NOR	673.0	13.05	5.52
188646	POL	53045.0	10.62	5.12
192797	ROU	23538.0	10.21	5.46
210961	SGP	30.0	17.28	7.17
213833	SVN	4047.0	12.18	5.52
221371	ESP	75459.0	11.17	5.72
226924	CHE	10297.0	11.12	6.63
239119	TUR	31537.0	10.54	8.02
245968	GBR	152707.0	46.14	6.69
247109	USA	548342.0	32.76	19.52
250158	URY	974.0	18.59	1.51
