	beta	alpha 0	alpha f	t0	theta	PMean	PMeanRelax	DeathReportingRatio	alp
AFG	0.155918	1.8866599999999998	1.1412	184.55599999999998	5.0	13.0584	54.2196	4.0	0.0253303
AGO	0.11619700000000001	0.001	3.96213	309.54400000000004	5.0	26.4469	100.0	1.0	0.016027700000000002
ALB	0.137312	9.87202	0.0728411	57.3873	45.0262	29.8808	41.93600000000001	1.0	0.00748936
ARE	0.179321	0.622749	1.45155	195.171	5.0	2.0	62.0851	4.0	0.020306499999999998
ARM	0.141988	0.250924	0.001	230.738	85.0911	28.5372	28.8469	1.0	0.015617700000000002
AUS	0.219038	10.0	1.2344	155.67600000000002	27.1921	2.17801	100.0	4.0	0.033786199999999995
AUT	0.183435	0.385851	0.0708695	296.825	5.0	2.5981400000000003	100.0	4.0	0.043125300000000005
AZE	0.134131	0.8880549999999999	0.001	281.691	5.0	30.0	12.3781	1.0	0.028357099999999996
BEL	0.217598	0.0348088	0.0636109	224.858	5.0	2.25248	100.0	1.0	0.025739299999999996
BGD	0.217583	10.0	3.09547	146.779	5.2134599999999995	8.91629	94.0292	4.0	0.00479901
BGR	0.143225	0.424104	0.022516099999999997	258.70099999999996	8.34482	3.5648199999999997	24.39	1.0	0.014945600000000002
BHR	0.138705	4.78939	0.268271	150.34	6.40961	22.9704	3.06185	2.6851	0.0158885
BIH	0.162473	1.4821600000000001	0.001	140.461	51.536	10.0905	9.74729	1.0	0.0144512
BLR	0.26708200000000004	2.0936	1.32441	218.238	17.6115	8.72141	100.0	3.1547099999999997	0.00625836
BOL	0.142337	0.59837	0.040635199999999996	127.22	35.7712	30.0	60.9662	1.0	0.0112148
BRA	0.24941	9.92343	0.14605	87.2425	10.1003	5.34365	56.0494	2.1787799999999997	0.013330400000000001
BWA	0.136666	1.10314	8.25831	314.81	5.0	21.8819	3.73336	2.97453	0.775783
CAN	0.202688	0.17256	0.302109	257.406	16.7162	2.0	100.0	4.0	0.021241
CHE	0.176093	0.364083	0.046571800000000003	26.7016	100.0	5.4443	100.0	4.0	0.0449063
CHL	0.176836	9.94368	0.0397646	81.4042	16.8224	9.59193	38.785	3.4694199999999995	0.00541162
CHN	0.116656	0.001	10.0	47.6139	5.0	5.16695	15.4572	3.97295	0.166188
CIV	0.124885	1.92888	7.58634	203.235	5.0	2.00006	56.1421	2.15893	0.0488906
COD	0.13846	9.93125	0.001	318.882	10.1692	7.2558	100.0	2.3485400000000003	0.0233772
COL	0.17371199999999998	2.1254	0.06424819999999999	136.785	14.7467	3.5922300000000003	23.9154	2.13124	0.00618095
CPV	0.111791	0.0139254	0.187549	300.08299999999997	5.20498	25.7121	5.14874	1.0	0.001
CRI	0.154547	10.0	0.115632	137.017	18.3682	3.72436	64.7347	1.0	0.00271505
CYP	0.149125	1.8048099999999998	0.540337	261.251	5.0	26.9681	100.0	4.0	0.038520599999999995
CZE	0.18626800000000002	0.8956719999999999	0.04187	272.094	5.0	3.87782	100.0	1.0	0.0256514
DEU	0.189435	10.0	0.47590299999999996	92.4	7.00215	30.0	100.0	4.0	0.0423533
DNK	0.131224	0.001	0.316275	110.456	21.1531	13.7807	37.3397	4.0	0.034137400000000005
DOM	0.165026	0.425795	0.265482	239.38400000000001	5.0	10.1526	96.0378	1.0	0.019724000000000002
DZA	0.15498199999999998	1.90783	0.828885	292.48	5.0	27.8502	62.3419	4.0	0.0203792
ECU	0.221125	0.193691	0.001	240.043	5.0	30.0	100.0	1.0	1.0
EGY	0.141797	0.578182	2.05211	212.43400000000003	5.0	8.90315	10.0508	1.0	0.00822131
ESP	0.266237	0.0657065	0.144438	236.945	5.0	8.83618	100.0	4.0	0.0665628
EST	0.129116	0.407981	0.001	296.248	5.0	6.93191	42.7868	3.72077	0.0168362
ETH	0.158424	9.979619999999999	2.7555099999999997	190.627	5.0	2.0	99.4462	4.0	0.0999585
FIN	0.124949	0.344848	0.713095	161.517	5.0	17.9763	35.5602	1.03065	0.0181114
FRA	0.20210999999999998	0.07563639999999999	0.141125	247.017	5.06611	14.3049	100.0	2.13721	0.08298810000000001
GBR	0.214052	0.033883800000000006	0.100515	206.18099999999998	91.7041	2.0	84.6699	4.0	0.0182886
