	PMean	PMeanRelax	beta	alpha 0	alpha f	t0	theta	alp	eq_gdn	eq_dpm	eq_alpha	end_gdn	end_dpm	end_alpha	mean_dpm	avg_Re	chg_dpm	eq_gdn_niqr	eq_dpm_niqr	end_gdn_niqr	end_dpm_niqr
AFG	13.0584	54.2196	0.155918	1.8866599999999998	1.1412	184.55599999999998	5.0	0.0253303	0.6413627676086148	0.3892043831389155	1.1412	0.7141583717854146	0.2949969611069918	1.1412000000000426	0.18355600000000005	0.9902267111111112	-0.0020325341122415237	0.05000284905384991	0.3824653031994247	0.061789971819521325	0.3282847921658624
AGO	26.4469	100.0	0.11619700000000001	0.001	3.96213	309.54400000000004	5.0	0.016027700000000002	0.8606074167147173	0.03788791396055592	3.9621299999990804	0.8660838249756877	0.036436510787415166	3.945865737775727	0.05945454545454544	1.1010968611111112	-0.00477092108719561	0.046302248850264204	0.4400340032900741	0.04691876697211629	0.3319289997454127
ALB	29.8808	41.93600000000001	0.137312	9.87202	0.0728411	57.3873	45.0262	0.00748936	0.728268468888371	4.2691724354068565	0.07427329947866212	0.754201543945908	3.0499959816941	0.0924904979293366	1.102619607843137	1.1208616111111107	0.003312082444128599	0.05128861577774771	1.064035760590326	0.06929937250997638	0.3048420988043332
ARE	2.0	62.0851	0.179321	0.622749	1.45155	195.171	5.0	0.020306499999999998	0.5576591698685597	0.4023335812795945	1.45155	0.646481044487264	0.300514209917333	1.4515499999996024	0.22327307692307707	1.040253372222222	-0.0018240348014255184	0.0477607762610298	0.4969050725564302	0.07418762677253203	0.07800940795825505
ARM	28.5372	28.8469	0.141988	0.250924	0.001	230.738	85.0911	0.015617700000000002	0.7042848691438713	19.788240064421718	0.01771619708769889	0.781677586960275	4.343382999365612	0.05670992320469043	2.8278069498069485	1.031143672222222	0.0031758941070150143	0.0235729830504548	0.11847206577927168	0.02777861875911416	0.10810005609094896
AUS	2.17801	100.0	0.219038	10.0	1.2344	155.67600000000002	27.1921	0.033786199999999995	0.4565417872697888	0.6351124302638306	1.2345452669415984	0.4638250322392051	0.6168072157858158	1.245523502158102	0.13244776119402987	1.062933977777778	0.0004253520803610544	0.050213049237217096	0.08688700980490016	0.0499379314595745	0.0821130636770022
AUT	2.5981400000000003	100.0	0.183435	0.385851	0.0708695	296.825	5.0	0.043125300000000005	0.5451522337612779	8.56066707569974	0.07086950000000569	0.6185148753457865	6.769394133503942	0.07097149719509588	1.321907407407408	1.2041960999999997	-0.006380340166872381	0.0448046955791785	0.13211325410440514	0.051422556700074576	0.12524896238811525
AZE	30.0	12.3781	0.134131	0.8880549999999999	0.001	281.691	5.0	0.028357099999999996	0.7455398080980534	293.6467483515517	0.0010000000000007778	0.7680665448837285	260.2542790494013	0.001013927239036816	0.546202380952381	1.0950766611111111	0.010570504640800048	0.026559493183361718	0.872756770441626	0.033342208692186084	0.608040244322703
BEL	2.25248	100.0	0.217598	0.0348088	0.0636109	224.858	5.0	0.025739299999999996	0.4595630474544803	12.222420021961431	0.0636109	0.527217462717375	10.06340380154319	0.06361089999476527	5.289558823529411	1.1043328611111116	-0.0021406296384596933	0.03752231966299408	0.04716757547826469	0.044527403543454636	0.044221995445134235
BGD	8.91629	94.0292	0.217583	10.0	3.09547	146.779	5.2134599999999995	0.00479901	0.4595947293676436	0.2511444791717507	3.0954700000000006	0.4817730272198521	0.2359196418388445	3.0954700000000024	0.16724066390041506	1.0038926555555554	-0.00028692435870100665	0.03612304772736722	0.020478398805616062	0.034681599219507954	0.014412936698579798
BGR	3.5648199999999997	24.39	0.143225	0.424104	0.022516099999999997	258.70099999999996	8.34482	0.014945600000000002	0.6982021295164951	15.955100302316652	0.022516100024415897	0.7327830384058046	13.787456108811655	0.022549889531229942	2.2552054263565893	1.1149333777777781	-0.004429016914865592	0.03271322460487118	0.2540792220807926	0.04468877688219377	0.23434157396428465
BHR	22.9704	3.06185	0.138705	4.78939	0.268271	150.34	6.40961	0.0158885	0.7209545438160124	1.2195846353486577	0.2682710000000004	0.9319089590749148	0.2628690856023422	0.2682710000010182	0.7478022388059703	0.9826716388888892	-0.006071180053514326	0.03496727728955061	0.16980055798392354	0.04750196998524175	0.6080136259286396
BIH	10.0905	9.74729	0.162473	1.4821600000000001	0.001	140.461	51.536	0.0144512	0.6154868808971337	112.7715762850264	0.004303758660815228	0.6727222590042987	12.019900629293712	0.032980532674400376	3.1855898437500003	1.1456570944444435	0.0126702602783291	0.03532584330557472	0.3450928318751695	0.05338585532012805	0.12429591563714427
BLR	8.72141	100.0	0.26708200000000004	2.0936	1.32441	218.238	17.6115	0.00625836	0.37441684576272455	0.7417527153877598	1.3244111157085232	0.3908630046281238	0.70881096343004	1.32531549405007	0.4942862903225802	1.0299376055555558	-0.0002410903035699566	0.10085393221366594	0.11857583501733895	0.1000522797475118	0.036090466528469714
BOL	30.0	60.9662	0.142337	0.59837	0.040635199999999996	127.22	35.7712	0.0112148	0.7025580137279837	8.675241371402839	0.040693657300240216	0.8530241100933013	3.7657678105673176	0.042213825926068815	3.1069635627530348	0.9628049055555556	0.000131418094870988	0.03392025461717303	1.185990988412929	0.058666439739594935	0.3536607662835327
BRA	5.34365	56.0494	0.24941	9.92343	0.14605	87.2425	10.1003	0.013330400000000001	0.40094623311014	6.257637402841159	0.14605000000000246	0.5943519540445632	3.562366444544226	0.14605000017828296	3.0791320754716986	1.019102377777778	-0.0027161841705497197	0.051481040227938965	0.056456901740762615	0.09980500094529887	0.12570627596861667
BWA	21.8819	3.73336	0.136666	1.10314	8.25831	314.81	5.0	0.775783	0.7317108863945678	0.0378249069097254	8.258309999995237	0.7423560276517002	0.03644480475242448	8.174726995608564	0.08580891719745233	1.2685686444444444	-0.011404004338927295	0.13033592336637131	1782.658462509772	0.1299536564207092	3231.0915213724934
CAN	2.0	100.0	0.202688	0.17256	0.302109	257.406	16.7162	0.021241	0.493369119040101	2.338559567319416	0.3021080475353935	0.5658459215408995	1.8917402754104984	0.3010103811110565	1.2062808988764044	1.0820997333333326	-0.0019295373487980762	0.04403710282085432	0.09001537099608499	0.04976176040867721	0.0699232994663249
CHE	5.4443	100.0	0.176093	0.364083	0.046571800000000003	26.7016	100.0	0.0449063	0.5678817443055658	11.11799651418559	0.050894248604960564	0.7081816630443294	5.729919169013907	0.06021980795928222	2.045106227106228	1.2174303111111109	-0.010935945849182864	0.037023241303509265	0.16303928379135826	0.04237281021787686	0.13019760303482986
