	Beta	Alpha 0	Time to increase risk	Time to reduce risk	Patient Zero Arrival Time	alp[Infection]	alpratio	cum_deaths	IFR	SFrac_mdl	RS_corr	RS_corr_p	avg_Re_180	avg_Outputs[Death]_180	avg_Sensitivity Alpha_180	maeom_0	r2_0	maeom_1	r2_1	maeom	r2	maeom_nbr_0	r2_nbr_0	maeom_nbr_1	r2_nbr_1	maeom_nbr	r2_nbr	nbr_Re_180	nbr_Outputs[Death]_180	nbr_Sensitivity Alpha_180	R0_est	population	gdp_per_capita	hosp_beds	median_age	hist_deaths_180	hist_Re_180	hist_str_180	hist_dpm_180	next_deaths_180	next_Re_180	next_str_180	next_dpm_180	mob_avg	mob_rr	mob_wk	total_deaths	people_vaccinated_per_hundred	people_fully_vaccinated_per_hundred	cumulative_excess_mortality	excess_mortality_fraction	em_100	em_50	em_25	alp[Death]	avg_dpm_180	hist_dpm_norm	avg_dpm_norm	next_dpm_norm	g_D_180	marginal	half_contact_dpm
AFG	0.435237	14.2893	43.7611	34.7849	44.2417	1.0	0.112759	1705.43	0.00177224	0.97395	0.057037412208537586	0.407551749219563	0.9343780555555554	8.314577722222223	14.289299999999955	0.19733125728691794	0.933008289871732	0.40106621369714646	0.6482198953105478	0.2991987354920322	0.7906140925911399	1.1674810197629717	0.8197719112906998	33.677172955048086	0.02308628668140181	17.42232698740553	0.4214290989860508	1.059733977777778	319.6573159444445	9.999999999999976e-10	1.51	41128772.0	1803.9870000000033	0.5	18.600000000000087	5.621400000000002	1.0196111111111108	14.673444444444414	0.13667804134779427	26.261066666666654	1.0378888888888884	36.96500000000013	0.6385084063941092	16.205938888888888	35.25157222222221	-2.8396944444444467	2484.0			23796.509806841997	9.579915381176326	False	False	False	0.112759	0.2021596395394986	0.4455431067043525	0.6590000336737619	2.0814098317210608	0.2571540423485445	0.06540521802829449	0.06998243440896357
AGO	0.502069	67.1792	19.3557	400.0	101.986	0.0421356	1e-06	327.7	0.00163968	0.9933	0.36796585814142924	6.835220980091336e-07	1.4517363388888889	1.827986997222222	67.17920000000002	0.19966888171637262	0.8699447837613525	0.23283087845124958	0.7100232640005172	0.2162498800838111	0.7899840238809348	0.9549057419009712	0.8459284807774436	104.35294536590007	0.04264326463636559	52.65392555390052	0.4442858727069046	2.091433616666667	196.25690793777778	9.999999999999976e-10	0.74	35588996.0	5819.495000000042		16.800000000000093	1.9752569832402245	0.9969444444444442	62.574222222222176	0.05550190242063093	5.192855555555552	1.079222222222222	53.88905555555532	0.14591183059942328	-13.463094444444444	-9.251583333333336	-17.674605555555555	537.0			7623.005505378892	14.195540978359206	False	False	False	4.21356e-08	0.051363825976496275	0.19555201118866875	0.18097216552914067	0.5140968270545491	0.22468977844907903	0.014667229888294372	0.01488555981613356
ALB	0.439329	0.718173	1.0	398.618	76.2021	0.0573864	1e-06	864.862	0.00789558	0.955865	0.8925520701643834	6.427959688663704e-75	1.1843112833333331	4.779895055555557	0.7181719999999985	0.14765859511959215	0.9664187561269146	0.34142081848141337	0.8079896296406409	0.24453970680050274	0.8872041928837777	0.5540292558270894	0.46371462593362556	26.141853022520007	0.020656893945957655	13.347941139173548	0.2421857599397916	1.2819295888888895	109.79223283333324	9.999999999999976e-10	1.15	2842318.0	11803.430999999959	2.8899999999999886	38.0	10.149244444444449	1.0445000000000004	59.49811111111106	3.5707631744387682	2.2833500000000013	1.0463888888888886	44.85122222222231	0.8033407943797991				2235.0			10410.977109030555	4.6581553060539385	False	False	False	5.73864e-08	1.6816890494151453	2.612705898036402	1.2304817439372093	0.5877996184777059	0.452951479582746	0.5820139078043414	1.3924240989623684
ARE	2.61521	19.2607	2.51981	66.4422	101.235	1.0	0.22788	760.122	0.00167409	0.947833	0.05841454555221119	0.39630424578565937	1.034262772222222	3.231200000000001	19.260699999999943	0.18623217392941013	0.8654995957105908	0.8315568787945046	0.20831972692123396	0.5088945263619573	0.5369096613159123	0.3325848248804787	0.4800640467915296	20.31419282701737	0.17511651138794482	10.323388825948923	0.3275902790897372	1.2006579833333326	55.14129072222222	9.999999999999976e-10	1.49	9441138.0	67293.48299999943	1.1999999999999929	34.0	5.916638888888889	1.0333888888888896	53.37527777777776	0.6266870465074114	3.3563277777777767	0.9379999999999992	52.66483333333333	0.3555003409311225	-17.980958333333334	-16.954749999999994	-19.007166666666667	1497.0			3652.5038571198997	2.4398823360854376	False	False	False	0.22788	0.3422468774421051	2.162645981334278	1.181066113061299	1.2268027366488188	0.1317190820458937	0.04935663624652666	0.05191919296806466
ARG	0.465364	0.479784	1.0	10.0	44.377	1.0	0.55102	38154.8	0.00654161	0.856355	0.3966576289627975	1.9365587500851787e-09	1.2211669944444448	211.76548833333334	0.4797839999999994	0.178040522368014	0.8881789103290009	0.5549632227440267	0.2750819789733481	0.3665018725560203	0.5816304446511744	0.5203936266850572	0.2468521843006424	5.698606272165282	0.27336685046493064	3.1094999494251696	0.26010951738278654	1.3753170944444437	1397.6215641666663	9.999999999999976e-10	2.38	45510324.0	18933.90699999991	5.0	31.8999999999998	211.58810555555542	0.9996666666666668	78.74594444444449	4.6492331180844895	329.50715555555547	0.9411666666666668	75.86372222222221	7.240272680887867	-27.509119444444448	-39.679355555555546	-15.33888333333333	55858.0	7.84	1.56	55610.890706478014	0.9955761163392534	True	True	True	0.55102	4.653130756294623	4.105917235278186	4.109359390037349	6.3941642919422765	0.3093583033609948	0.6757743021954559	2.0842712553982654
ARM	3.6086	2.49384	9.43439	58.7933	110.066	0.813888	0.6	3987.95	0.00721526	0.794143			0.9952619777777786	16.801744999999997	2.4938399999999925	0.23594686542172055	0.89314923312611	1.0119153455102645	0.1286262809047911	0.6239311054659925	0.5108877570154506	0.3776184862075105	0.6859922160812745	5.416499129610359	0.002018286442738122	2.8970588079089348	0.3440052512620063	1.2220897166666669	71.37123038888889	9.999999999999976e-10	1.38	2780472.0	8787.580000000042	4.200000000000026	35.70000000000014	13.928561111111105	1.0501111111111112		5.009423260191473	9.730166666666667	1.002777777777778		3.4994657981330755				3515.0	0.02		6037.456990694958	1.7176264553897462	True	False	False	0.48833279999999996	6.042767199238114	4.01096857435441	4.8383512590943	2.8019687325848643	0.06222893638425359	0.28621802944611147	0.40098803451705123
AUS	0.300688	11.0131	100.0	242.748	35.7889	0.117992	0.6	1088.17	0.00903903	0.995237	-0.4803043072446173	1.0833685062427533e-13	1.012081027777778	5.965934716666666	11.013099999999952	0.27001487227616044	0.9492884602029609	0.8182048673626061	0.4025906461484355	0.5441098698193833	0.6759395531756982	0.5969259316296113	0.6294839372541342	267.91063001819884	0.10513850157498801	134.25377797491421	0.36731121941456113	0.9024845777777781	1227.1609407277783	9.999999999999976e-10	2.18	26177410.0	44648.71000000038	3.839999999999992	37.89999999999978	0.14048888888888902	0.9949444444444442	61.774111111110976	0.0053667986591832036	1.7423988764044944	1.2140555555555557	61.22022222222238	0.06656116385862827	-12.776977777777775	-10.948422222222225	-14.605533333333332	909.0	2.57	0.28	-2650.974157299761	-2.916363209350672	True	True	True	0.0707952	0.227903933837101	0.0034301016588833767	0.14566107490972335	0.0425414801388202	0.28490606307598076	0.08324246031415738	0.09080095522604938
AUT	0.224161	0.0351396	1.0	10.0	1.21338	1.0	0.6	6184.18	0.011210600000000001	0.9147350000000001	-0.6656554473812107	1.2394740799901016e-28	1.4068783888888883	34.727847611111116	0.035139599999999944	0.16563411322119134	0.9634941233999399	1.1860481303706534	0.8843733158462044	0.6758411217959224	0.9239337196230721	0.3585476117718003	0.956882734672459	4.5161221190228185	0.9730387937728933	2.4373348653973093	0.9649607642226761	1.5560276111111113	89.89257711111111	9.999999999999976e-10	2.8	8939617.0	45436.68600000027	7.369999999999938	44.399999999999764	57.30313333333334	1.0615555555555554	73.48977777777773	6.410021070626778	11.844438888888892	0.9881666666666662	59.62338888888888	1.3249380693701855	-39.66348333333333	-48.14285555555556	-31.18411111111111	11404.0			8566.199250938156	0.7511574229163588	True	True	True	0.6	3.884713138282223	3.303270332336775	2.00190569078298	0.6827791310686202	0.8798887874257313	0.9660532743602892	28.457922116358798
AZE	0.960978	4.90753	21.0177	62.1105	95.0762	0.391194	0.6	1802.11	0.00445284	0.9533659999999999	-0.04341808513488789	0.5285411013245032	1.0354360666666662	9.359180944444446	4.9075299999999835	0.2740644097793731	0.9180349415300505	0.7510224445824762	0.2957881951230676	0.5125434271809246	0.606911568326559	0.2868846089866468	0.9218829149610501	13.0465156442085	0.7683646109565806	6.666700126597573	0.8451237629588153	1.5030711111111108	95.18396127777775	9.999999999999976e-10	1.72	10358078.0	15847.419000000036	4.700000000000029	32.3999999999998	16.120661111111115	1.1112777777777774	72.40638888888898	1.5563371033806768	16.23731666666667	1.0268888888888892	65.37722222222224	1.5675993815326232				3567.0			13526.632763586722	3.7921594515241717	False	False	False	0.2347164	0.9035634742704628	2.019203534093968	1.1722900884146554	2.033815298985367	0.1840175306753335	0.1692754840009281	0.20376849453798618
BEL	3.82209	1.20793	16.9654	56.9295	103.757	1.0	0.6	40614.7	0.011053700000000001	0.653138	0.3654362682279301	3.9481402632390865e-08	1.0222663055555556	135.57225055555548	1.2079300000000028	0.24423587998085503	0.9415000024155573	3.5643105338302994	0.1523070786120486	1.9042732069055772	0.546903540513803	0.3505406946082645	0.8721984658547325	9.399297386262683	0.11125496213150805	4.874919040435474	0.4917267139931203	1.2822252944444448	505.5906922222225	9.999999999999976e-10	2.43	11655923.0	42658.575999999826	5.6400000000000405	41.79999999999977	71.68256111111111	1.0386666666666666	60.49416666666638	6.149882863082667	14.676166666666663	1.0272777777777788	52.268777777777814	1.2591166453884999	-33.36985277777778	-39.542083333333345	-27.19762222222223	23016.0	12.33	4.89	17005.538951307844	0.7388572710856728	True	True	True	0.6	11.631189615404587	3.2141984477524095	6.078969703921795	0.65806956933133	0.06644667116440796	0.4529129093766554	0.8278625417035735
